Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5,Decision 6,Value 6
Universe_1,pipeline,cpac,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_2,pipeline,cpac,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_3,pipeline,cpac,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_4,pipeline,cpac,parcellation,rois_aal,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_5,pipeline,cpac,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_6,pipeline,cpac,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_7,pipeline,cpac,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,partial,regularisation,0.25
Universe_8,pipeline,cpac,parcellation,rois_aal,band_pass,True,global_signal,False,connectivity,partial,regularisation,1.0
Universe_9,pipeline,cpac,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_10,pipeline,cpac,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_11,pipeline,cpac,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,partial,regularisation,0.25
Universe_12,pipeline,cpac,parcellation,rois_aal,band_pass,False,global_signal,True,connectivity,partial,regularisation,1.0
Universe_13,pipeline,cpac,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,pearson,regularisation,0.25
Universe_14,pipeline,cpac,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,pearson,regularisation,1.0
Universe_15,pipeline,cpac,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,partial,regularisation,0.25
Universe_16,pipeline,cpac,parcellation,rois_aal,band_pass,False,global_signal,False,connectivity,partial,regularisation,1.0
Universe_17,pipeline,cpac,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,pearson,regularisation,0.25
Universe_18,pipeline,cpac,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,pearson,regularisation,1.0
Universe_19,pipeline,cpac,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,partial,regularisation,0.25
Universe_20,pipeline,cpac,parcellation,rois_cc200,band_pass,True,global_signal,True,connectivity,partial,regularisation,1.0
Universe_21,pipeline,cpac,parcellation,rois_cc200,band_pass,True,global_signal,False,connectivity,pearson,regularisation,0.25
