Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4
Universe_1,function1,a,function2,d,value,nan,option,nan
Universe_2,function1,a,function2,e,value,nan,option,True
Universe_3,function1,a,function2,e,value,nan,option,False
Universe_4,function1,a,function2,f,value,nan,option,True
Universe_5,function1,a,function2,f,value,nan,option,False
Universe_6,function1,b,function2,d,value,nan,option,nan
Universe_7,function1,b,function2,e,value,nan,option,True
Universe_8,function1,b,function2,e,value,nan,option,False
Universe_9,function1,b,function2,f,value,nan,option,True
Universe_10,function1,b,function2,f,value,nan,option,False
Universe_11,function1,c,function2,d,value,4,option,nan
Universe_12,function1,c,function2,d,value,5,option,nan
Universe_13,function1,c,function2,e,value,4,option,True
Universe_14,function1,c,function2,e,value,5,option,True
Universe_15,function1,c,function2,f,value,4,option,True
Universe_16,function1,c,function2,f,value,5,option,True
Universe_17,function2,d,function1,a,value,nan,option,nan
Universe_18,function2,d,function1,b,value,nan,option,nan
Universe_19,function2,d,function1,c,value,4,option,nan
Universe_20,function2,d,function1,c,value,5,option,nan
Universe_21,function2,e,function1,a,value,nan,option,True
Universe_22,function2,e,function1,a,value,nan,option,False
Universe_23,function2,e,function1,b,value,nan,option,True
Universe_24,function2,e,function1,b,value,nan,option,False
Universe_25,function2,e,function1,c,value,4,option,True
Universe_26,function2,e,function1,c,value,5,option,True
Universe_27,function2,f,function1,a,value,nan,option,True
Universe_28,function2,f,function1,a,value,nan,option,False
Universe_29,function2,f,function1,b,value,nan,option,True
Universe_30,function2,f,function1,b,value,nan,option,False
Universe_31,function2,f,function1,c,value,4,option,True
Universe_32,function2,f,function1,c,value,5,option,True
